ts,open,high,low,close,volume
1767748200000,140.44,140.5,140.08,140.09,25066.62
1767748500000,140.08,140.08,139.3,139.34,38294.8
1767748800000,139.35,139.81,139.22,139.64,18782.21
1767749100000,139.65,139.97,139.61,139.64,9420.35
1767749400000,139.65,139.69,139.12,139.22,49278.46
1767749700000,139.23,139.48,139.06,139.2,16725.52
1767750000000,139.24,139.31,139.13,139.21,1875.91
1767750300000,139.19,139.33,138.94,139.02,8728.94
1767750600000,139.0,139.09,138.81,138.93,6295.2
1767750900000,138.93,139.04,138.87,138.9,1073.33
1767751200000,138.89,138.98,138.51,138.76,25105.05
1767751500000,138.76,139.21,138.76,138.93,14734.5
1767751800000,138.94,139.05,138.88,139.02,6477.99
1767752100000,139.02,139.05,138.77,138.82,6615.61
1767752400000,138.8,139.1,138.77,138.91,21387.84
1767752700000,138.94,139.29,138.94,138.95,1977.68
1767753000000,138.94,139.26,138.6,139.22,10501.25
1767753300000,139.23,139.43,138.86,139.4,10417.49
1767753600000,139.4,139.56,139.16,139.32,2310.86
1767753900000,139.33,139.5,139.22,139.5,3883.82
1767754200000,139.47,140.01,139.36,139.79,14580.51
1767754500000,139.79,140.07,139.69,139.9,3488.74
1767754800000,139.93,140.1,139.93,140.04,14948.39
1767755100000,140.05,140.05,139.77,139.96,2877.86
1767755400000,139.96,140.02,139.95,139.98,5257.49
1767755700000,139.98,140.35,139.84,140.35,9409.77
1767756000000,140.36,140.5,140.19,140.3,12549.78
1767756300000,140.31,140.32,140.05,140.08,2692.84
1767756600000,140.08,140.12,139.7,139.82,3137.25
1767756900000,139.82,139.87,139.61,139.67,13075.91
1767757200000,139.66,139.68,139.49,139.59,9529.26
1767757500000,139.57,139.6,139.35,139.43,1813.2
1767757800000,139.47,139.57,139.43,139.55,1134.18
1767758100000,139.55,139.55,139.47,139.55,5468.61
1767758400000,139.56,139.68,139.39,139.67,1272.76
1767758700000,139.66,139.69,139.32,139.33,840.44
1767759000000,139.34,139.39,139.12,139.34,7629.01
1767759300000,139.3,139.41,139.13,139.28,9855.86
1767759600000,139.28,139.32,139.24,139.25,643.79
1767759900000,139.25,139.28,139.24,139.26,804.64
1767760200000,139.24,139.39,139.24,139.26,915.65
1767760500000,139.26,139.26,138.87,138.88,9754.34
1767760800000,138.88,139.22,138.88,139.13,11906.72
1767761100000,139.13,139.14,138.98,138.98,3881.14
1767761400000,138.98,139.02,138.82,138.87,4936.62
1767761700000,138.87,138.91,138.74,138.75,3824.43
1767762000000,138.76,138.79,138.58,138.66,16389.5
1767762300000,138.63,138.79,138.54,138.74,4473.21
1767762600000,138.75,138.78,138.63,138.69,15688.52
1767762900000,138.72,138.91,138.65,138.89,5139.7
1767763200000,138.88,139.04,138.82,138.91,2766.69
1767763500000,138.91,138.91,138.68,138.84,838.09
1767763800000,138.85,139.31,138.85,139.26,6901.2
1767764100000,139.21,139.28,139.07,139.18,3789.65
1767764400000,139.18,139.2,138.71,138.79,66353.34
1767764700000,138.81,138.81,138.15,138.32,92296.69
1767765000000,138.33,138.41,138.26,138.39,5107.37
1767765300000,138.39,138.48,138.29,138.47,9834.04
1767765600000,138.47,138.63,138.44,138.58,783.46
1767765900000,138.58,138.61,138.45,138.55,1193.74
1767766200000,138.62,138.81,138.59,138.71,3096.35
1767766500000,138.71,138.8,138.67,138.7,2346.66
1767766800000,138.69,138.95,138.69,138.93,1134.45
1767767100000,138.92,139.04,138.86,138.89,1327.41
1767767400000,138.91,138.97,138.67,138.71,1546.58
1767767700000,138.73,138.87,138.65,138.87,839.72
1767768000000,138.87,138.87,138.75,138.78,582.64
1767768300000,138.78,138.94,138.78,138.94,956.03
1767768600000,138.94,138.97,138.82,138.84,374.99
1767768900000,138.84,138.86,138.7,138.74,387.15
1767769200000,138.74,139.02,138.73,138.98,1613.14
1767769500000,138.96,139.03,138.88,138.93,1946.21
1767769800000,138.93,139.03,138.93,139.02,992.79
1767770100000,139.03,139.25,139.02,139.25,1676.45
1767770400000,139.25,139.26,139.01,139.09,1464.72
1767770700000,139.12,139.19,139.11,139.17,785.31
1767771000000,139.18,139.27,139.05,139.13,818.99
1767771300000,139.14,139.38,139.07,139.26,8839.62
1767771600000,139.25,139.33,139.13,139.19,2257.75
1767771900000,139.15,139.22,139.08,139.16,663.75
